origpathname,unitid,format,licenseuri,fileuri,scientificname,typifiedname,family,subfamily,genus,species,subspecies,zoogeoregion,countrycode,country,province,station,eventdate,view
"Cerambycidae, Lamiinae/Cylindrothorax balteatus 53065cz72.jpg",753,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/753.jpg,Cylindrothorax balteatus,Cylindrothorax balteatus,Cerambycidae,Lamiinae,Cylindrothorax,balteatus,,AT,KE,Kenya,,Yala River,10/1915,Dorsal
"Cerambycidae, Lamiinae/Cymatura bifasciata 54534cz41.jpg",754,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/754.jpg,Cymatura bifasciata,Cymatura bifasciata,Cerambycidae,Lamiinae,Cymatura,bifasciata,,AT,ZW,Zimbabwe,,Umtali,,Dorsal
"Cerambycidae, Lamiinae/Cymatura bifasciata 54542cz46.jpg",755,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/755.jpg,Cymatura bifasciata,Cymatura bifasciata,Cerambycidae,Lamiinae,Cymatura,bifasciata,,AT,ZW,Zimbabwe,,Umtali,,Dorsal
"Cerambycidae, Lamiinae/Cymatura bifasciata confluens 54547cz53.jpg",756,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/756.jpg,Cymatura bifasciata confluens,Cymatura bifasciata confluens,Cerambycidae,Lamiinae,Cymatura,bifasciata,confluens,AT,MZ,Mozambique,Zambezia ,Mount Morumbala ,1899,Dorsal
"Cerambycidae, Lamiinae/Cymatura bizonata 54559cz65.jpg",757,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/757.jpg,Cymatura bizonata,Cymatura bizonata,Cerambycidae,Lamiinae,Cymatura,bizonata,,AT,CD,"Congo, The Democratic Republic of the",,"Kolo, 400m",09/1924,Dorsal
"Cerambycidae, Lamiinae/Cymatura bizonata 54566cz70.JPG",758,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/758.jpg,Cymatura bizonata,Cymatura bizonata,Cerambycidae,Lamiinae,Cymatura,bizonata,,AT,CD,"Congo, The Democratic Republic of the",,"Kolo, 400m",09/1924,Dorsal
"Cerambycidae, Lamiinae/Cymatura fasciata 54520cz28.jpg",759,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/759.jpg,Cymatura fasciata,Cymatura fasciata,Cerambycidae,Lamiinae,Cymatura,fasciata,,AT,CF,Central African Republic,Haute-Sangha ,Carnot,,Dorsal
"Cerambycidae, Lamiinae/Cymatura mechowi 54483cz88.jpg",760,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/760.jpg,Cymatura mechowi,Cymatura mechowi,Cerambycidae,Lamiinae,Cymatura,mechowi,,AT,TZ,"Tanzania, United Republic of ",,Kigonsera,,Dorsal
"Cerambycidae, Lamiinae/Cymatura mechowi 54489cz92.jpg",761,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/761.jpg,Cymatura mechowi,Cymatura mechowi,Cerambycidae,Lamiinae,Cymatura,mechowi,,AT,TZ,"Tanzania, United Republic of ",,Kigonsera,,Dorsal
"Cerambycidae, Lamiinae/Cymatura nyassica 54507cz14.jpg",762,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/762.jpg,Cymatura nyassica,Cymatura nyassica,Cerambycidae,Lamiinae,Cymatura,nyassica,,AT,TZ,"Tanzania, United Republic of ",,Kidugala,,Dorsal
"Cerambycidae, Lamiinae/Cymatura nyassica 54515cz19.jpg",763,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/763.jpg,Cymatura nyassica,Cymatura nyassica,Cerambycidae,Lamiinae,Cymatura,nyassica,,AT,TZ,"Tanzania, United Republic of ",,Kidugala,,Lateral
"Cerambycidae, Lamiinae/Cymatura spumans 54493cz99.jpg",764,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/764.jpg,Cymatura spumans,Cymatura spumans,Cerambycidae,Lamiinae,Cymatura,spumans,,AT,ZW,Zimbabwe,,Salisbury (=Harare),,Dorsal
"Cerambycidae, Lamiinae/Cymatura spumans 54500cz06.jpg",765,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/765.jpg,Cymatura spumans,Cymatura spumans,Cerambycidae,Lamiinae,Cymatura,spumans,,AT,ZW,Zimbabwe,,Salisbury (=Harare),,Dorsal
"Cerambycidae, Lamiinae/Cyrtocris fulvicornis 55684cz92 copie.jpg",766,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/766.jpg,Cyrtocris fulvicornis,Cyrtocris fulvicornis,Cerambycidae,Lamiinae,Cyrtocris,fulvicornis,,AT,TZ,"Tanzania, United Republic of ",,,,Dorsal
"Cerambycidae, Lamiinae/Cyrtocris fulvicornis 55693cz01 copie.jpg",767,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/767.jpg,Cyrtocris fulvicornis,Cyrtocris fulvicornis,Cerambycidae,Lamiinae,Cyrtocris,fulvicornis,,AT,TZ,"Tanzania, United Republic of ",,,,Lateral
"Cerambycidae, Lamiinae/Deliathis buqueti 56747cz51.jpg",768,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/768.jpg,Deliathis buqueti,Deliathis buqueti,Cerambycidae,Lamiinae,Deliathis,buqueti,,NT,MX,Mexico,Veracruz,,,Dorsal
"Cerambycidae, Lamiinae/Deliathis incana 56752cz57.jpg",769,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/769.jpg,Deliathis incana,Deliathis incana,Cerambycidae,Lamiinae,Deliathis,incana,,NT,,,,,,Dorsal
"Cerambycidae, Lamiinae/Deliathis incana 56758cz61.JPG",770,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/770.jpg,Deliathis incana,Deliathis incana,Cerambycidae,Lamiinae,Deliathis,incana,,NT,,,,,,Ventral
"Cerambycidae, Lamiinae/Dermagogus larvatus 53083cz85.jpg",771,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/771.jpg,Dermagogus larvatus,Dermagogus larvatus,Cerambycidae,Lamiinae,Dermagogus,larvatus,,AT,ET,Ethiopia,,,,Dorsal
