filename,processed,interpreted_scientific_name
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa kraussei 39643cz47.jpg,true,Chrysochroa kraussei
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa lepida 39688cz91.jpg,true,Chrysochroa lepida
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa lepida 39692cz95.jpg,true,Chrysochroa lepida
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa mniszechi viridisplendens 39700cz03.jpg,true,Chrysochroa mniszechi viridisplendens
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa purpureiventris 39704cz07.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa sublineata 39696cz99.jpg,true,Chrysochroa sublineata
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa unidentata mutabilis 39649cz53.jpg,true,Chrysochroa unidentata mutabilis
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa unidentata mutabilis 39654cz59.jpg,true,Chrysochroa unidentata mutabilis
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa vittata 39625cz27.jpg,true,Chrysochroa vittata
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa vittata 39628cz30.jpg,true,Chrysochroa vittata
/home/nnoe/openup_images_source/Buprestidae/Chrysodema lottinii 42280cz84.jpg,true,Chrysodema lottinii
/home/nnoe/openup_images_source/Buprestidae/Chrysodema mniszechi 42276cz79.jpg,true,Chrysodema mniszechi
/home/nnoe/openup_images_source/Buprestidae/Chrysodema radians 42271cz75.jpg,true,Chrysodema radians
/home/nnoe/openup_images_source/Buprestidae/Chrysodema smaragdula aurifera 42285cz89.jpg,true,Chrysodema smaragdula aurifera
/home/nnoe/openup_images_source/Buprestidae/Colobogaster semisuturalis 42135.jpg,true,Colobogaster semisuturalis
/home/nnoe/openup_images_source/Buprestidae/Conognatha iris 42106.jpg,true,Conognatha iris
/home/nnoe/openup_images_source/Buprestidae/Conognatha vulnerata 42107cz10.jpg,true,Conognatha vulnerata
/home/nnoe/openup_images_source/Buprestidae/Curis caloptera 42065cz69.jpg,true,Curis caloptera
/home/nnoe/openup_images_source/Buprestidae/Curis caloptera 42070cz74.jpg,true,Curis caloptera
/home/nnoe/openup_images_source/Buprestidae/Curis viridicyanea 4 2088cz94.jpg,true,Curis viridicyanea 4
/home/nnoe/openup_images_source/Buprestidae/Curis viridicyanea 42095cz98.jpg,true,Curis viridicyanea
/home/nnoe/openup_images_source/Buprestidae/Curis viridicyanea 42099cz05.jpg,true,Curis viridicyanea
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra albertii 42180cz83.jpg,true,Cyphogastra albertii
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra buyri sulcicollis 42184cz88.jpg,true,Cyphogastra buyri sulcicollis
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra callipyga 42189cz92.jpg,true,Cyphogastra callipyga
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra farinosa 42193cz97.jpg,true,Cyphogastra farinosa
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra farinosa 42204cz07.jpg,true,Cyphogastra farinosa
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra javanica 42208cz12.jpg,true,Cyphogastra javanica
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra pistor 42218cz21.jpg,true,Cyphogastra pistor
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra pistor 42222cz25.jpg,true,Cyphogastra pistor
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra vulnerata 42226cz30.jpg,true,Cyphogastra vulnerata
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra vulnerata 42231cz33.jpg,true,Cyphogastra vulnerata
/home/nnoe/openup_images_source/Buprestidae/Cyphogenia javanica 42213cz17.jpg,true,Cyphogenia javanica
/home/nnoe/openup_images_source/Buprestidae/Cyria australis 42144cz47.jpg,true,Cyria australis
/home/nnoe/openup_images_source/Buprestidae/Cyria australis 42148cz50.jpg,true,Cyria australis
/home/nnoe/openup_images_source/Buprestidae/Cyria australis 42151cz53.jpg,true,Cyria australis
/home/nnoe/openup_images_source/Buprestidae/Cyria australis 42154cz57.jpg,true,Cyria australis
/home/nnoe/openup_images_source/Buprestidae/Cyria australis 42161cz63.jpg,true,Cyria australis
/home/nnoe/openup_images_source/Buprestidae/Cyria vittigera 42170cz72.jpg,true,Cyria vittigera
/home/nnoe/openup_images_source/Buprestidae/Cyria vittigera 42173cz76.jpg,true,Cyria vittigera
/home/nnoe/openup_images_source/Buprestidae/Damarsila albicincta 39857cz60.jpg,true,Damarsila albicincta
/home/nnoe/openup_images_source/Buprestidae/Damarsila amaurotica boucardi 39861cz65.jpg,true,Damarsila amaurotica boucardi
/home/nnoe/openup_images_source/Buprestidae/Damarsila amaurotica boucardi 39866cz70.jpg,true,Damarsila amaurotica boucardi
/home/nnoe/openup_images_source/Buprestidae/Damarsila foveicollis 39879cz83.jpg,true,Damarsila foveicollis
/home/nnoe/openup_images_source/Buprestidae/Damarsila foveicollis 39884cz88.jpg,true,Damarsila foveicollis
/home/nnoe/openup_images_source/Buprestidae/Damarsila gorila 39890cz92.jpg,true,Damarsila gorila
/home/nnoe/openup_images_source/Buprestidae/Damarsila pupillata 39893cz95.jpg,true,Damarsila pupillata
/home/nnoe/openup_images_source/Buprestidae/Diadoxus scalaris 42177cz79.jpg,true,Diadoxus scalaris
/home/nnoe/openup_images_source/Buprestidae/Dicercomorpha alluaudi 40324cz28.jpg,true,Dicercomorpha alluaudi
/home/nnoe/openup_images_source/Buprestidae/Dicercomorpha argenteoguttata 40320cz23.jpg,true,Dicercomorpha argenteoguttata
/home/nnoe/openup_images_source/Buprestidae/Dicercomorpha farinosa 40334cz38.jpg,true,Dicercomorpha farinosa
/home/nnoe/openup_images_source/Buprestidae/Dicercomorpha mutabilis 40329cz33.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Ectogonia angulicollis 39814cz16.jpg,true,Ectogonia angulicollis
/home/nnoe/openup_images_source/Buprestidae/Ectogonia buqueti 39799cz03.jpg,true,Ectogonia buqueti
/home/nnoe/openup_images_source/Buprestidae/Hippomelas planicosta 39790cz94.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Hippomelas planicosta 39795cz98.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Hippomelas planicosta 39804cz06.jpg,true,Hippomelas planicosta
/home/nnoe/openup_images_source/Buprestidae/Hyperantha testacea 42121cz25.jpg,true,Hyperantha testacea
/home/nnoe/openup_images_source/Buprestidae/Hyperantha testacea 42126cz28.jpg,true,Hyperantha testacea
/home/nnoe/openup_images_source/Buprestidae/Iridotaenia bellicosa 42267cz70.jpg,true,Iridotaenia bellicosa
/home/nnoe/openup_images_source/Buprestidae/Iridotaenia blanchardii 42257cz61.jpg,true,Iridotaenia blanchardii
/home/nnoe/openup_images_source/Buprestidae/Julodimorpha backewelli 38592cz97.jpg,true,Julodimorpha backewelli
/home/nnoe/openup_images_source/Buprestidae/Julodimorpha backewelli 38598cz02.jpg,true,Julodimorpha backewelli
/home/nnoe/openup_images_source/Buprestidae/Julodis albomaculata 38388cz94.jpg,true,Julodis albomaculata
/home/nnoe/openup_images_source/Buprestidae/Julodis albomaculata 38395cz00.jpg,true,Julodis albomaculata
/home/nnoe/openup_images_source/Buprestidae/Julodis albomaculata 38579cz82.jpg,true,Julodis albomaculata
/home/nnoe/openup_images_source/Buprestidae/Julodis cirrosa 38603cz07.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Julodis gariepina 38608cz12.jpg,true,Julodis gariepina
/home/nnoe/openup_images_source/Buprestidae/Julodis humeralis 38613cz17.jpg,true,Julodis humeralis
/home/nnoe/openup_images_source/Buprestidae/Julodis laevicostata  38583cz86.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Julodis onopordi lampedusana 38419cz29.jpg,true,Julodis onopordi lampedusana
/home/nnoe/openup_images_source/Buprestidae/Julodis sulcicollis 38522cz28.jpg,true,Julodis sulcicollis
/home/nnoe/openup_images_source/Buprestidae/Julodis sulcicollis var  38314cz26.jpg,true,Julodis sulcicollis var
/home/nnoe/openup_images_source/Buprestidae/Julodis sulcicollis var 38263cz72.jpg,true,Julodis sulcicollis var
/home/nnoe/openup_images_source/Buprestidae/Julodis sulcicollis var 38314cz26.jpg,true,Julodis sulcicollis var
/home/nnoe/openup_images_source/Buprestidae/Julodis sulcicollis var 8273cz83.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Julodis variolaris freygessneri 38587cz91.jpg,true,Julodis variolaris freygessneri
/home/nnoe/openup_images_source/Buprestidae/Julodis viridipes 38354cz60.jpg,true,Julodis viridipes
/home/nnoe/openup_images_source/Buprestidae/Julodis viridipes 38362cz68.jpg,true,Julodis viridipes
/home/nnoe/openup_images_source/Buprestidae/Metataenia clotildae 42234cz37.jpg,true,Metataenia clotildae
/home/nnoe/openup_images_source/Buprestidae/Metataenia quadrisignata 42238cz42.jpg,true,Metataenia quadrisignata
/home/nnoe/openup_images_source/Buprestidae/Metaxiphora meecki 42050cz55.jpg,true,Metaxiphora meecki
/home/nnoe/openup_images_source/Buprestidae/Paracupta auricollis 42243cz46.jpg,true,Paracupta auricollis
/home/nnoe/openup_images_source/Buprestidae/Paracupta hoscheki gyleki 42247cz50.jpg,true,Paracupta hoscheki gyleki
/home/nnoe/openup_images_source/Buprestidae/Paracupta hoscheki gyleki 42251cz56.jpg,true,Paracupta hoscheki gyleki
/home/nnoe/openup_images_source/Buprestidae/Phylocteanus maitlandi 42140cz43.jpg,true,Phylocteanus maitlandi
/home/nnoe/openup_images_source/Buprestidae/Polybothris acuminata 39897cz99.jpg,true,Polybothris acuminata
/home/nnoe/openup_images_source/Buprestidae/Polybothris aequalis 39900cz03.jpg,true,Polybothris aequalis
/home/nnoe/openup_images_source/Buprestidae/Polybothris aequalis 39917cz20 copie.jpg,true,Polybothris aequalis
/home/nnoe/openup_images_source/Buprestidae/Polybothris alboplagiata 39904cz09.jpg,true,Polybothris alboplagiata
/home/nnoe/openup_images_source/Buprestidae/Polybothris amorpha 39921cz24.jpg,true,Polybothris amorpha
/home/nnoe/openup_images_source/Buprestidae/Polybothris amorpha 39925cz34 copie.jpg,true,Polybothris amorpha
/home/nnoe/openup_images_source/Buprestidae/Polybothris analis 39941cz46.jpg,true,Polybothris analis
/home/nnoe/openup_images_source/Buprestidae/Polybothris analis 39947cz50.jpg,true,Polybothris analis
/home/nnoe/openup_images_source/Buprestidae/Polybothris analis 39965cz67.jpg,true,Polybothris analis
/home/nnoe/openup_images_source/Buprestidae/Polybothris analis 39968cz72.jpg,true,Polybothris analis
/home/nnoe/openup_images_source/Buprestidae/Polybothris aureospila 39937cz40.jpg,true,Polybothris aureospila
/home/nnoe/openup_images_source/Buprestidae/Polybothris aureospila 39961cz64.jpg,true,Polybothris aureospila
/home/nnoe/openup_images_source/Buprestidae/Polybothris auriventris 39951cz56.jpg,true,Polybothris auriventris
/home/nnoe/openup_images_source/Buprestidae/Polybothris auriventris 39973cz75.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Polybothris auropicta 39957cz60.jpg,true,Polybothris auropicta
/home/nnoe/openup_images_source/Buprestidae/Polybothris deyrollei 39983cz87.jpg,true,Polybothris deyrollei
/home/nnoe/openup_images_source/Buprestidae/Polybothris dilatata 39988cz91.jpg,true,Polybothris dilatata
/home/nnoe/openup_images_source/Buprestidae/Polybothris dilatata 40012cz14.jpg,true,Polybothris dilatata
/home/nnoe/openup_images_source/Buprestidae/Polybothris expansicollis 39992cz96.jpg,true,Polybothris expansicollis
/home/nnoe/openup_images_source/Buprestidae/Polybothris expansicollis 40015cz17.jpg,true,Polybothris expansicollis
/home/nnoe/openup_images_source/Buprestidae/Polybothris funebris 39997cz99.jpg,true,Polybothris funebris
/home/nnoe/openup_images_source/Buprestidae/Polybothris grandidieri 40005cz08 copie.jpg,true,Polybothris grandidieri
/home/nnoe/openup_images_source/Buprestidae/Polybothris grandidieri 40018cz20.jpg,true,Polybothris grandidieri
