unitid,format,licenseuri,fileuri,scientificname,typifiedname,family,subfamily,genus,species,subspecies,zoogeoregion,countrycode,country,province,station,eventdate,view
48,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/48.jpg,Chrysochroa gratiosa,Chrysochroa gratiosa,Buprestidae,"",Chrysochroa,gratiosa,,OL,MY,Malaysia,Perak,,,Lateral
49,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/49.jpg,Chrysochroa lacordairei,Chrysochroa lacordairei,Buprestidae,"",Chrysochroa,lacordairei,,OL,ID,Indonesia,Maluku ,Halmahera Island,,Dorsal
50,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/50.jpg,Chrysochroa descarpentriesi,Chrysochroa descarpentriesi,Buprestidae,"",Chrysochroa,descarpentriesi,,OL,MY,Malaysia,Pahang ,Cameron Highlands ,,Dorsal
51,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/51.jpg,Chrysochroa descarpentriesi,Chrysochroa descarpentriesi,Buprestidae,"",Chrysochroa,descarpentriesi,,OL,MY,Malaysia,Pahang ,Cameron Highlands ,,Lateral
52,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/52.jpg,Chrysochroa descarpentriesi,Chrysochroa descarpentriesi,Buprestidae,"",Chrysochroa,descarpentriesi,,OL,MY,Malaysia,Pahang ,Cameron Highlands ,,Ventral
53,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/53.jpg,Chrysochroa hemixantha,Chrysochroa hemixantha,Buprestidae,"",Chrysochroa,hemixantha,,OL,MY,Malaysia,,,,Dorsal
54,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/54.jpg,Chrysochroa hemixantha,Chrysochroa hemixantha,Buprestidae,"",Chrysochroa,hemixantha,,OL,MY,Malaysia,,,,Lateral
55,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/55.jpg,Chrysochroa hemixantha,Chrysochroa hemixantha,Buprestidae,"",Chrysochroa,hemixantha,,OL,MY,Malaysia,,,,Ventral
56,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/56.jpg,Chrysochroa buqueti fruhstorferi,Chrysochroa buqueti fruhstorferi,Buprestidae,"",Chrysochroa,buqueti,fruhstorferi,OL,VN,Vietnam,Lang Son,Thanh Moi ,,Dorsal
57,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/57.jpg,Chrysochroa buqueti hermanni,Chrysochroa buqueti hermanni,Buprestidae,"",Chrysochroa,buqueti,hermanni,OL,VN,Vietnam,Annam,,,Dorsal
58,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/58.jpg,Chrysochroa buqueti mirabilis,Chrysochroa buqueti mirabilis,Buprestidae,"",Chrysochroa,buqueti,mirabilis,OL,IN,India,Assam,,,Dorsal
59,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/59.jpg,Chrysochroa buqueti rugicollis,Chrysochroa buqueti rugicollis,Buprestidae,"",Chrysochroa,buqueti,rugicollis,OL,VN,Vietnam,Annam,,,Dorsal
60,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/60.jpg,Chrysochroa caroli,Chrysochroa caroli,Buprestidae,"",Chrysochroa,caroli,,OL,ID,Indonesia,Java,,,Dorsal
61,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/61.jpg,Chrysochroa catoxantha eburnea,Chrysochroa catoxantha eburnea,Buprestidae,"",Chrysochroa,catoxantha,eburnea,OL,IN,India,Andaman Islands ,,,Dorsal
62,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/62.jpg,Chrysochroa catoxantha eburnea,Chrysochroa catoxantha eburnea,Buprestidae,"",Chrysochroa,catoxantha,eburnea,OL,IN,India,Andaman Islands ,,,Dorsal
63,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/63.jpg,Chrysochroa crhysoides,Chrysochroa crhysoides,Buprestidae,"",Chrysochroa,crhysoides,,OL,ID,Indonesia,Sulawesi,,1904,Dorsal
64,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/64.jpg,Chrysochroa cuprascens,Chrysochroa cuprascens,Buprestidae,"",Chrysochroa,cuprascens,,OL,IN,India,Kerala,Mahe ,06/1902,Dorsal
65,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/65.jpg,Chrysochroa ephippigera toulgoeti,Chrysochroa ephippigera toulgoeti,Buprestidae,"",Chrysochroa,ephippigera,toulgoeti,OL,MY,Malaysia,Pahang ,Cameron Highlands ,09/1984,Dorsal
66,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/66.jpg,Chrysochroa ephippigera toulgoeti,Chrysochroa ephippigera toulgoeti,Buprestidae,"",Chrysochroa,ephippigera,toulgoeti,OL,MY,Malaysia,Pahang ,Cameron Highlands ,09/1984,Ventral
67,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/67.jpg,Chrysochroa fulminans chrysina,Chrysochroa fulminans chrysina,Buprestidae,"",Chrysochroa,fulminans,chrysina,OL,PH,Philippines,Mindanao ,,15/06/1915,Dorsal
68,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/68.jpg,Chrysochroa ignita,Chrysochroa ignita,Buprestidae,"",Chrysochroa,ignita,,OL,LK,Sri Lanka,,,,Dorsal
69,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/69.jpg,Chrysochroa kaupii,Chrysochroa kaupii,Buprestidae,"",Chrysochroa,kaupii,,OL,ID,Indonesia,Maluku ,Kamarian (Seram),09/1992,Dorsal
70,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/70.jpg,Chrysochroa kraussei,Chrysochroa kraussei,Buprestidae,"",Chrysochroa,kraussei,,OL,PH,Philippines,Romblon,,1987,Ventral
71,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/71.jpg,Chrysochroa kraussei,Chrysochroa kraussei,Buprestidae,"",Chrysochroa,kraussei,,OL,PH,Philippines,Romblon,,1987,Dorsal
72,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/72.jpg,Chrysochroa lepida,Chrysochroa lepida,Buprestidae,"",Chrysochroa,lepida,,AT,NA,Namibia,,Epupa Falls,03/1995,Dorsal
73,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/73.jpg,Chrysochroa lepida,Chrysochroa lepida,Buprestidae,"",Chrysochroa,lepida,,AT,NA,Namibia,,Epupa Falls,03/1995,Ventral
74,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/74.jpg,Chrysochroa mniszechi viridisplendens,Chrysochroa mniszechi viridisplendens,Buprestidae,"",Chrysochroa,mniszechi,viridisplendens,OL,,,,,,Dorsal
75,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/75.jpg,Chrysochroa purpureiventris,Chrysochroa purpureiventris,Buprestidae,"",Chrysochroa,purpureiventris,,OL,,,,,,Dorsal
76,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/76.jpg,Chrysochroa sublineata,Chrysochroa sublineata,Buprestidae,"",Chrysochroa,sublineata,,OL,IN,India,Rajasthan ,Ajmer,,Dorsal
77,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/77.jpg,Chrysochroa unidentata mutabilis,Chrysochroa unidentata mutabilis,Buprestidae,"",Chrysochroa,unidentata,mutabilis,OL,IN,India,Rajasthan ,Ajmer,,Dorsal
78,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/78.jpg,Chrysochroa unidentata mutabilis,Chrysochroa unidentata mutabilis,Buprestidae,"",Chrysochroa,unidentata,mutabilis,OL,IN,India,Rajasthan ,Ajmer,,Ventral
79,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/79.jpg,Chrysochroa vittata,Chrysochroa vittata,Buprestidae,"",Chrysochroa,vittata,,OL,TH,Thailand,Loei ,Na Haeo,05/05/2001,Dorsal
