unitid,format,licenseuri,fileuri,scientificname,typifiedname,family,subfamily,genus,species,subspecies,zoogeoregion,countrycode,country,province,station,eventdate,view
1572,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1572.jpg,Chalcolepidius porcatus virens,Chalcolepidius porcatus virens,Elateridae,"",Chalcolepidius,porcatus,virens,NT,EC,Ecuador,Morona-Santiago ,Macas,,Dorsal
1573,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1573.jpg,Chalcolepidius zonatus,Chalcolepidius zonatus,Elateridae,"",Chalcolepidius,zonatus,,NT,BR,Brazil,,,,Dorsal
1574,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1574.jpg,Athyreus bifurcatus,Athyreus bifurcatus,Geotrupidae,"",Athyreus,bifurcatus,,NT,AR,Argentina,Misiones ,,11/1950,Dorsal
1575,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1575.jpg,Athyreus bifurcatus,Athyreus bifurcatus,Geotrupidae,"",Athyreus,bifurcatus,,NT,AR,Argentina,Misiones ,,11/1950,Lateral
1576,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1576.jpg,Athyreus bifurcatus,Athyreus bifurcatus,Geotrupidae,"",Athyreus,bifurcatus,,NT,AR,Argentina,Misiones ,,11/1950,Frontal
1577,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1577.jpg,Athyreus bifurcatus,Athyreus bifurcatus,Geotrupidae,"",Athyreus,bifurcatus,,NT,GF,French Guiana,,,,Lateral
1578,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1578.jpg,Athyreus bifurctaus,Athyreus bifurctaus,Geotrupidae,"",Athyreus,bifurctaus,,NT,GF,French Guiana,,,,Dorsal
1579,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1579.jpg,Athyreus orientalis,Athyreus orientalis,Geotrupidae,"",Athyreus,orientalis,,OL,IN,India,Maharashtra ,Bombay ,,Lateral
1580,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1580.jpg,Autolethrus appendiculatus,Autolethrus appendiculatus,Geotrupidae,"",Autolethrus,appendiculatus,,PA,TR,Turkey,,,,Lateral
1581,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1581.jpg,Autolethrus raymondi,Autolethrus raymondi,Geotrupidae,"",Autolethrus,raymondi,,PA,GR,Greece,,Thessaloniki ,,Lateral
1582,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1582.jpg,Autolethrus raymondi,Autolethrus raymondi,Geotrupidae,"",Autolethrus,raymondi,,PA,GR,Greece,,Thessaloniki ,,Dorsal Head
1583,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1583.jpg,Bolbaffer abditus,Bolbaffer abditus,Geotrupidae,"",Bolbaffer,abditus,,AT,CD,"Congo, The Democratic Republic of the",Lomami ,Kabinda,,Dorsal
1584,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1584.jpg,Bolbaffer abditus,Bolbaffer abditus,Geotrupidae,"",Bolbaffer,abditus,,AT,CD,"Congo, The Democratic Republic of the",Lomami ,Kabinda,,Frontal
1585,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1585.jpg,Bolbaffer abditus,Bolbaffer abditus,Geotrupidae,"",Bolbaffer,abditus,,AT,CD,"Congo, The Democratic Republic of the",Lomami ,Kabinda,,Lateral
1586,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1586.jpg,Bolbaffer abditus,Bolbaffer abditus,Geotrupidae,"",Bolbaffer,abditus,,AT,CD,"Congo, The Democratic Republic of the",Lomami ,Kabinda,,Dorsal
1587,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1587.jpg,Bolbaffer abditus,Bolbaffer abditus,Geotrupidae,"",Bolbaffer,abditus,,AT,CD,"Congo, The Democratic Republic of the",Lomami ,Kabinda,,Lateral
1588,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1588.jpg,Bolbaffer abyssinicus,Bolbaffer abyssinicus,Geotrupidae,"",Bolbaffer,abyssinicus,,AT,ET,Ethiopia,Amhara ,"Azezo (Goggiam), 2000m",06/1939,Lateral
1589,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1589.jpg,Bolbaffer bremeri,Bolbaffer bremeri,Geotrupidae,"",Bolbaffer,bremeri,,AT,CF,Central African Republic,Haute-Sangha ,,,Dorsal
1590,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1590.jpg,Bolbaffer bremeri,Bolbaffer bremeri,Geotrupidae,"",Bolbaffer,bremeri,,AT,CF,Central African Republic,Haute-Sangha ,,,Lateral
1592,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1592.jpg,Bolbaffer princeps,Bolbaffer princeps,Geotrupidae,"",Bolbaffer,princeps,,AT,ET,Ethiopia,Amhara ,"Azezo (Goggiam), 2000m",06/1939,Lateral
1593,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1593.jpg,Bolbaffer splendidus,Bolbaffer splendidus,Geotrupidae,"",Bolbaffer,splendidus,,AT,GN,Guinea,,Forécariah ,1914,Dorsal
1594,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1594.jpg,Bolbaffer splendidus,Bolbaffer splendidus,Geotrupidae,"",Bolbaffer,splendidus,,AT,GN,Guinea,,Forécariah ,1914,Lateral
1595,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1595.jpg,Bolboceras armigerum,Bolboceras armigerum,Geotrupidae,"",Bolboceras,armigerum,,AU,AU,Australia,,,,Dorsal
1596,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1596.jpg,Bolboceras armigerum,Bolboceras armigerum,Geotrupidae,"",Bolboceras,armigerum,,AU,AU,Australia,,,,Lateral Head
1597,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1597.jpg,Bolboceras armigerum,Bolboceras armigerum,Geotrupidae,"",Bolboceras,armigerum,,AU,AU,Australia,,,,Lateral Head
1598,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1598.jpg,Bolboceras armigerum,Bolboceras armigerum,Geotrupidae,"",Bolboceras,armigerum,,AU,AU,Australia,,Swan River,,Lateral
1600,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1600.jpg,Bolboceras calescens,Bolboceras calescens,Geotrupidae,"",Bolboceras,calescens,,AU,,,,,,Lateral
1601,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1601.jpg,Bolboceras calescens,Bolboceras calescens,Geotrupidae,"",Bolboceras,calescens,,AU,,,,,,Lateral
1602,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1602.jpg,Bolboceras capreolus,Bolboceras capreolus,Geotrupidae,"",Bolboceras,capreolus,,AU,AU,Australia,,Swan River,,Lateral
1603,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1603.jpg,Bolboceras capreolus,Bolboceras capreolus,Geotrupidae,"",Bolboceras,capreolus,,AU,AU,Australia,,Swan River,,Frontal
1604,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1604.jpg,Bolboceras capreolus,Bolboceras capreolus,Geotrupidae,"",Bolboceras,capreolus,,AU,AU,Australia,,Swan River,,Dorsal Head
1605,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1605.jpg,Bolboceras cavicolle,Bolboceras cavicolle,Geotrupidae,"",Bolboceras,cavicolle,,AU,,,,,,Lateral
1606,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1606.jpg,Bolboceras cavicolle,Bolboceras cavicolle,Geotrupidae,"",Bolboceras,cavicolle,,AU,,,,,,Frontal
1607,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1607.jpg,Bolboceras cornigerum,Bolboceras cornigerum,Geotrupidae,"",Bolboceras,cornigerum,,AU,AU,Australia,Queensland ,Cunnamulla,,Lateral
1609,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1609.jpg,Bolboceras cornigerum,Bolboceras cornigerum,Geotrupidae,"",Bolboceras,cornigerum,,AU,AU,Australia,Queensland ,Cunnamulla,,Lateral
1610,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1610.jpg,Bolboceras cyclops,Bolboceras cyclops,Geotrupidae,"",Bolboceras,cyclops,,PA,IN,India,West Bengal ,Calcutta ,,Lateral
1611,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1611.jpg,Bolboceras frontale,Bolboceras frontale,Geotrupidae,"",Bolboceras,frontale,,AU,AU,Australia,,Swan River,,Lateral
1612,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1612.jpg,Bolboceras geotrupoides,Bolboceras geotrupoides,Geotrupidae,"",Bolboceras,geotrupoides,,NT,CL,Chile,,,,Lateral
1613,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1613.jpg,Bolboceras macleayi,Bolboceras macleayi,Geotrupidae,"",Bolboceras,macleayi,,AU,,,,,,Lateral
1614,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1614.jpg,Bolboceras macleayi,Bolboceras macleayi,Geotrupidae,"",Bolboceras,macleayi,,AU,,,,,,Lateral
1615,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1615.jpg,Bolboceras princeps,Bolboceras princeps,Geotrupidae,"",Bolboceras,princeps,,AT,CD,"Congo, The Democratic Republic of the",Katanga ,Kinda,,Lateral
1616,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1616.jpg,Bolboceras princeps,Bolboceras princeps,Geotrupidae,"",Bolboceras,princeps,,AT,CD,"Congo, The Democratic Republic of the",Katanga ,Kinda,,Lateral
1617,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1617.jpg,Bolboceras quinquedentatus,Bolboceras quinquedentatus,Geotrupidae,"",Bolboceras,quinquedentatus,,NT,AR,Argentina,La Rioja ,La Rioja ,,Lateral
1618,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1618.jpg,Bolboceras rhinoceros,Bolboceras rhinoceros,Geotrupidae,"",Bolboceras,rhinoceros,,AU,AU,Australia,Queensland ,Cape York ,,Lateral
1619,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1619.jpg,Bolboceras rhinoceros,Bolboceras rhinoceros,Geotrupidae,"",Bolboceras,rhinoceros,,AU,AU,Australia,Queensland ,Cape York ,,Dorsal
1620,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1620.jpg,Bolboceras rhinoceros,Bolboceras rhinoceros,Geotrupidae,"",Bolboceras,rhinoceros,,AU,AU,Australia,,,,Lateral
1621,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1621.jpg,Bolboceras sloanei,Bolboceras sloanei,Geotrupidae,"",Bolboceras,sloanei,,AU,AU,Australia,,,,Lateral
1622,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1622.jpg,Bolboceras sloanei,Bolboceras sloanei,Geotrupidae,"",Bolboceras,sloanei,,AU,AU,Australia,,,,Lateral
1623,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1623.jpg,Bolborhachium excavatus,Bolborhachium excavatus,Geotrupidae,"",Bolborhachium,excavatus,,NT,SV,El Salvador,San Salvador,San Salvador,23/05/1960,Dorsal
1624,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1624.jpg,Bolborhachium excavatus,Bolborhachium excavatus,Geotrupidae,"",Bolborhachium,excavatus,,NT,SV,El Salvador,San Salvador,San Salvador,23/05/1960,Lateral
1625,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1625.jpg,Bolborhachium excavatus,Bolborhachium excavatus,Geotrupidae,"",Bolborhachium,excavatus,,NT,SV,El Salvador,San Salvador,San Salvador,23/05/1960,Frontal
1626,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1626.jpg,Ceratochirus gladiator,Ceratochirus gladiator,Geotrupidae,"",Ceratochirus,gladiator,,PA,RU,Russian Federation,,,,Lateral
1627,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1627.jpg,Ceratochirus gladiator,Ceratochirus gladiator,Geotrupidae,"",Ceratochirus,gladiator,,PA,RU,Russian Federation,,,,Lateral
1630,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1630.jpg,Elephastomus kirbyi,Elephastomus kirbyi,Geotrupidae,"",Elephastomus,kirbyi,,AU,AU,Australia,,,1903,Lateral
1631,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1631.jpg,Elephastomus kirbyi,Elephastomus kirbyi,Geotrupidae,"",Elephastomus,kirbyi,,AU,AU,Australia,,,1903,Dorsal
1632,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1632.jpg,Elephastomus proboscideus,Elephastomus proboscideus,Geotrupidae,"",Elephastomus,proboscideus,,AU,AU,Australia,,,,Dorsal
1633,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1633.jpg,Elephastomus proboscideus,Elephastomus proboscideus,Geotrupidae,"",Elephastomus,proboscideus,,AU,AU,Australia,,,,Lateral
1634,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1634.jpg,Enoplocerus bieti,Enoplocerus bieti,Geotrupidae,"",Enoplocerus,bieti,,PA,CN,China,Sichuan ,,1903,Dorsal
1635,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1635.jpg,Enoplocerus bieti,Enoplocerus bieti,Geotrupidae,"",Enoplocerus,bieti,,PA,CN,China,Sichuan ,,1903,Lateral Head
1636,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1636.jpg,Enoplocerus bieti,Enoplocerus bieti,Geotrupidae,"",Enoplocerus,bieti,,PA,CN,China,Sichuan ,,1903,Lateral
1637,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1637.jpg,Enoplocerus bieti,Enoplocerus bieti,Geotrupidae,"",Enoplocerus,bieti,,PA,CN,China,Sichuan ,,1903,Dorsal
1638,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1638.jpg,Enoplotrupes variicolor,Enoplotrupes variicolor,Geotrupidae,"",Enoplotrupes,variicolor,,PA,CN,China,Yunnan ,,1896,Dorsal
1639,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1639.jpg,Enoplotrupes variicolor,Enoplotrupes variicolor,Geotrupidae,"",Enoplotrupes,variicolor,,PA,CN,China,Yunnan ,,1896,Lateral
1648,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1648.jpg,Geotrupes auratus,Geotrupes auratus,Geotrupidae,"",Geotrupes,auratus,,PA,JP,Japan,,,,Dorsal
1649,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1649.jpg,Geotrupes auratus,Geotrupes auratus,Geotrupidae,"",Geotrupes,auratus,,PA,JP,Japan,,,,Ventral
1650,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1650.jpg,Lethrus brachycollis,Lethrus brachycollis,Geotrupidae,"",Lethrus,brachycollis,,PA,MK,"Macedonia, The Former Yugoslav Republic of",,"Jaratock, East of Monastir (=Bitola)",04/1918,Lateral
1651,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1651.jpg,Lethrus brachycollis,Lethrus brachycollis,Geotrupidae,"",Lethrus,brachycollis,,PA,MK,"Macedonia, The Former Yugoslav Republic of",,"Jaratock, East of Monastir (=Bitola)",04/1918,Dorsal
1652,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1652.jpg,Neoathyreus flavithorax,Neoathyreus flavithorax,Geotrupidae,"",Neoathyreus,flavithorax,,NT,BR,Brazil,Santa Catarina ,Nova Teutônia ,,Lateral
1653,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1653.jpg,Neoathyreus pholas,Neoathyreus pholas,Geotrupidae,"",Neoathyreus,pholas,,NT,CO,Colombia,Cundinamarca ,Fusagasuga,1921,Lateral
1654,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1654.jpg,Neoathyreus rectus,Neoathyreus rectus,Geotrupidae,"",Neoathyreus,rectus,,NT,BR,Brazil,São Paulo ,São Paulo ,,Lateral
1655,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1655.jpg,Scelolethrus bucharicus,Scelolethrus bucharicus,Geotrupidae,"",Scelolethrus,bucharicus,,PA,UZ,Uzbekistan,Buchara,,,Lateral
1656,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1656.jpg,Taurocerates patagonicus,Taurocerates patagonicus,Geotrupidae,"",Taurocerates,patagonicus,,NT,AR,Argentina,Chubut ,,,Lateral Head
1657,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1657.jpg,Taurocerates patagonicus,Taurocerates patagonicus,Geotrupidae,"",Taurocerates,patagonicus,,NT,AR,Argentina,Chubut ,,,Dorsal
1658,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1658.jpg,Taurocerates patagonicus,Taurocerates patagonicus,Geotrupidae,"",Taurocerates,patagonicus,,NT,AR,Argentina,Patagonia,Andina,1905,Dorsal
1659,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1659.jpg,Taurocerates patagonicus,Taurocerates patagonicus,Geotrupidae,"",Taurocerates,patagonicus,,NT,AR,Argentina,Patagonia,Andina,1905,Lateral
1660,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1660.jpg,Taurocerates patagonicus,Taurocerates patagonicus,Geotrupidae,"",Taurocerates,patagonicus,,NT,AR,Argentina,Santa Cruz ,,03/1899,Lateral Head
1661,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1661.jpg,Taurocerates patagonicus,Taurocerates patagonicus,Geotrupidae,"",Taurocerates,patagonicus,,NT,AR,Argentina,Santa Cruz ,,03/1899,Dorsal
1665,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1665.jpg,Typhaeus pumilus,Typhaeus pumilus,Geotrupidae,"",Typhaeus,pumilus,,PA,PT,Portugal,,,,Dorsal
1666,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1666.jpg,Typhaeus pusillus,Typhaeus pusillus,Geotrupidae,"",Typhaeus,pusillus,,PA,,,,,,Dorsal
1669,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1669.jpg,Vesta saturnalis,Vesta saturnalis,Lampyridae,"",Vesta,saturnalis,,OL,IN,India,West Bengal ,Kurseong ,,Dorsal
1670,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1670.jpg,Aegus acuminatus cicatricosus,Aegus acuminatus cicatricosus,Lucanidae,"",Aegus,acuminatus,cicatricosus,OL,ID,Indonesia,Java,,,Dorsal
1671,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1671.jpg,Aegus capitatus,Aegus capitatus,Lucanidae,"",Aegus,capitatus,,OL,ID,Indonesia,Borneo,Pontianak,1903,Dorsal
1672,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1672.jpg,Aegus capitatus,Aegus capitatus,Lucanidae,"",Aegus,capitatus,,OL,ID,Indonesia,Borneo,Pontianak,1903,Dorsal
1673,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1673.jpg,Aegus capitatus,Aegus capitatus,Lucanidae,"",Aegus,capitatus,,OL,ID,Indonesia,Borneo,Pontianak,1903,Dorsal
1674,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1674.jpg,Aegus chelifer,Aegus chelifer,Lucanidae,"",Aegus,chelifer,,OL,TH,Thailand,Loei ,Na Haeo,12/05/2001,Dorsal
1675,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1675.jpg,Aegus chelifer,Aegus chelifer,Lucanidae,"",Aegus,chelifer,,OL,VN,Vietnam,,,18/04/1883,Dorsal
1676,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1676.jpg,Aegus hamatus,Aegus hamatus,Lucanidae,"",Aegus,hamatus,,OL,ID,Indonesia,Kalimantan,,01/2008,Dorsal
1677,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1677.jpg,Aegus lunatus,Aegus lunatus,Lucanidae,"",Aegus,lunatus,,OL,ID,Indonesia,West Sumatra,Padang,,Dorsal
1678,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1678.jpg,Aegus naomii,Aegus naomii,Lucanidae,"",Aegus,naomii,,OL,ID,Indonesia,Kalimantan,,15/09/2008,Dorsal
1679,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1679.jpg,Aegus platyodon,Aegus platyodon,Lucanidae,"",Aegus,platyodon,,AU,PG,Papua New Guinea,Madang,Baiteta,26/05/1995,Dorsal
1680,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1680.jpg,Apterodorcus bacchus,Apterodorcus bacchus,Lucanidae,"",Apterodorcus,bacchus,,NT,CL,Chile,Concepción ,San Pedro,25/12/1975,Dorsal
1681,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1681.jpg,Calcodes aeratus,Calcodes aeratus,Lucanidae,"",Calcodes,aeratus,,OL,MY,Malaysia,Malacca ,,,Dorsal
1682,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1682.jpg,Calcodes aeratus,Calcodes aeratus,Lucanidae,"",Calcodes,aeratus,,OL,MY,Malaysia,Penang,,,Dorsal
1683,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1683.jpg,Calcodes carinatus,Calcodes carinatus,Lucanidae,"",Calcodes,carinatus,,OL,,,,,,Dorsal
1684,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1684.jpg,Calcodes carinatus,Calcodes carinatus,Lucanidae,"",Calcodes,carinatus,,OL,,,,,,Dorsal
1685,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1685.jpg,Calcodes cephalotes,Calcodes cephalotes,Lucanidae,"",Calcodes,cephalotes,,OL,ID,Indonesia,Sumatra,,08/2007,Dorsal
1686,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1686.jpg,Calcodes hamjahi,Calcodes hamjahi,Lucanidae,"",Calcodes,hamjahi,,OL,ID,Indonesia,South Sulawesi ,,10/2006,Dorsal
1687,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1687.jpg,Calcodes kazuhisai,Calcodes kazuhisai,Lucanidae,"",Calcodes,kazuhisai,,OL,ID,Indonesia,West Sumatra,Padang Panjang ,10/1997,Dorsal
1688,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1688.jpg,Calcodes nigritus,Calcodes nigritus,Lucanidae,"",Calcodes,nigritus,,OL,,,,,,Dorsal
1689,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1689.jpg,Calcodes nigritus,Calcodes nigritus,Lucanidae,"",Calcodes,nigritus,,OL,,,,,,Dorsal
1691,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1691.jpg,Calcodes striatus,Calcodes striatus,Lucanidae,"",Calcodes,striatus,,OL,,,,,,Dorsal
1693,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1693.jpg,Cantharolethrus azambrei,Cantharolethrus azambrei,Lucanidae,"",Cantharolethrus,azambrei,,NT,PE,Peru,Leoncio Prado ,Tingo María ,04/2010,Dorsal
1694,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1694.jpg,Cantharolethrus steinheili,Cantharolethrus steinheili,Lucanidae,"",Cantharolethrus,steinheili,,NT,PE,Peru,Ucayali ,Atalaya,09/2007,Dorsal
